,id,title,artist,album,release date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,owner
0,6Kkt27YmFyIFrcX3QXFi2o,Liability,Lorde,Melodrama,2017-06-16,171728,72,0.587,0.229,10,-11.254,0,0.128,0.92,0,0.1,0.379,75.67,4,me
1,5Htq8DDDN0Xce9MwqzAzui,La La Lost You,88rising,Head In The Clouds II,2019-10-11,200000,67,0.721,0.582,2,-8.251,1,0.0411,0.315,0.000559,0.065,0.487,100.083,4,me
2,44ZgNPCwK6tMNErjUJLIn8,All The Bright Places I - Solo Piano Version,Keegan DeWitt,All The Bright Places (Music from the Netflix Film),2020-02-28,127068,33,0.718,0.107,8,-31.183,1,0.0652,0.995,0.916,0.105,0.857,120.026,3,me
3,4JiDOmbJiV30RtE6msZgxF,Small Memory,Jon Hopkins,Insides,2009-05-03,100947,55,0,0.00834,1,-23.201,1,0,0.993,0.936,0.195,0,0,0,me
4,2oxBo0YLW89NLuv64Pvohc,Saving Grace,Kodaline,One Day at a Time,2020-06-12,230899,55,0.45,0.718,3,-5.95,1,0.0295,0.0304,0,0.0942,0.37,156.009,4,me
5,5lIYNJboTn9JuV6HGQqIML,Sephia - OST Generasi 90an Melankolia,gamaliél,Sephia (OST Generasi 90an Melankolia),2020-03-17,220364,44,0.631,0.332,0,-11.772,0,0.0366,0.464,0.0103,0.145,0.241,109.921,4,me
6,5bNMuAAxt5Ic6h0KxId0bj,All The Bright Places I,Keegan DeWitt,All The Bright Places (Music from the Netflix Film),2020-02-28,170481,41,0.517,0.292,8,-13.347,1,0.0356,0.868,0.897,0.138,0.249,124.954,3,me
7,4uf6GYD0cShgYKvRiKDNYt,Lullaby For A Cat,Epik High,sleepless in __________,2019-03-11,131753,51,0.659,0.324,2,-10.942,1,0.0398,0.808,0.883,0.107,0.277,138.007,4,me
8,1VGzxJnVQND7Cg5H5wGj14,YEAH RIGHT,Joji,BALLADS 1,2018-10-26,174358,80,0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033,4,me
9,13QIjo2iGBgl56mNDjJOet,I Choose - From The Netflix Original Film The Willoughbys,Alessia Cara,I Choose (From The Netflix Original Film The Willoughbys),2020-04-03,217348,70,0.66,0.631,0,-6.464,1,0.0764,0.386,0,0.16,0.416,138.007,3,me
10,0u4rkpmNtgcFxYHepnVF4v,Carry You,Novo Amor,Bathing Beach,2017-05-26,273107,65,0.334,0.397,7,-7.993,1,0.0284,0.558,0.0774,0.126,0.035,93.445,4,me
11,2JR4pCpJa22MpjA6ozqSKS,Let’s Get Married,Yellow Claw,Let's Get Married,2019-09-20,233787,33,0.603,0.645,1,-5.964,0,0.0372,0.00339,0,0.41,0.522,74.997,4,me
12,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head) (feat. beabadoobee),Powfu,death bed (coffee for your head) (feat. beabadoobee),2020-02-08,173333,95,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,4,me
13,4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),Taylor Swift,folklore,2020-07-24,285634,88,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62E-05,0.11,0.152,75.602,4,me
14,1NQshLCETtyX46PK1quLSC,Pumpin Blood - Taken by Trees x Belief Remix,NONONO,We Are Only Remixes,2015-07-24,193784,44,0.752,0.741,7,-6.275,1,0.0391,0.063,0.0195,0.169,0.742,129.979,4,me
15,5k8QGcDjSx8Bv6P25H6NFU,Rasa & Karsa,Figura Renata,Figura Renata,2017-02-10,340013,48,0.403,0.363,2,-9.916,1,0.0241,0.636,0.000957,0.0899,0.0411,98.501,4,me
16,6eDfe957aV4sqGnDhlSikJ,Drive Safe,Rich Brian,The Sailor,2019-07-26,240118,67,0.635,0.312,7,-8.134,1,0.0265,0.635,0,0.138,0.414,98.017,4,me
17,3Za4yViy4wKFEF0gkqCH3j,I Love You Too Much,Gustavo Santaolalla,The Book of Life (Original Motion Picture Soundtrack),2014-09-29,155320,49,0.403,0.255,0,-9.601,1,0.0428,0.854,9.50E-06,0.198,0.21,206.198,3,me
18,341863z079BT4EFPiSw9DP,The Call,Regina Spektor,The Call,2009,187427,61,0.58,0.101,10,-15.661,1,0.0289,0.934,0.000302,0.0768,0.302,91.003,3,me
19,3pcPPhPAiurm2Ior11SHrz,Daddy,Coldplay,Everyday Life,2019-11-22,298320,63,0.636,0.18,1,-19.54,1,0.0338,0.931,0.801,0.513,0.202,116.945,4,me
20,7JFFMicliyVArHQgwEqVBS,Alexandra,Reality Club,What Do You Really Know?,2019-08-30,238543,51,0.382,0.355,9,-10.025,1,0.0336,0.745,2.65E-06,0.248,0.146,138.419,4,me
21,3xXBsjrbG1xQIm1xv1cKOt,One More Light,Linkin Park,One More Light,2017-05-19,255067,73,0.593,0.2,8,-11.063,1,0.0311,0.904,0,0.0897,0.17,83.966,4,me
22,3gbwtdRrtD05lz08DTxfFt,City Of Stars (Humming),Justin Hurwitz,La La Land (Original Motion Picture Soundtrack),2016-12-09,162973,56,0.564,0.0136,4,-24.79,0,0.0349,0.975,0.0168,0.111,0.397,93.205,4,me
23,4H7WNRErSbONkM06blBoGc,Stay,Post Malone,beerbongs & bentleys,2018-04-27,204427,77,0.507,0.48,5,-5.418,1,0.0266,0.449,0,0.147,0.35,86.046,4,me
24,3YD9EehnGOf88rGSZFrnHg,Stay Together For The Kids,blink-182,Take Off Your Pants And Jacket,2001,239333,62,0.519,0.78,2,-4.939,1,0.0356,0.00165,2.14E-05,0.156,0.166,145.125,4,me
25,1LRF0e7tMHNDHj25tBlIm2,Always Somewhere - Live,Scorpions,Acoustica,2001-03-22,252680,45,0.564,0.538,8,-8.368,0,0.0311,0.623,0.00308,0.977,0.186,115.815,4,me
26,4u4t9R8Iky417ZasENaKXX,Yuri on ICE,Taro Umebayashi,Yuri on ICE,2016-10-27,220999,54,0.176,0.514,8,-12.05,1,0.0308,0.816,0.637,0.117,0.154,80.018,4,me
27,2cFGv8v5DcbJXHEdzouFne,Remember Me (Lullaby),Gael Garcia Bernal,Coco (Original Motion Picture Soundtrack),2017-11-10,69813,60,0.534,0.0556,0,-19.916,1,0.0481,0.922,0.00024,0.11,0.272,92.65,4,me
28,0ZJAaMYZzmnHGA6msryIWf,1000x,Jarryd James,High,2016-07-29,241400,53,0.547,0.576,8,-7.122,1,0.0315,0.156,0.0296,0.0797,0.0594,111.958,4,me
29,3JAXufDj7JkyOtwMwYmsBQ,Smallest Light,Ingrid Michaelson,The Space Between Us (Original Motion Picture Soundtrack),2017-01-27,217747,42,0.468,0.143,5,-12.231,1,0.0296,0.921,0,0.0936,0.192,109.668,4,me
30,6Dh1zHQjEaOp29VW9pp3xG,Taruh,Nadin Amizah,Selamat Ulang Tahun,2020-05-28,249892,58,0.349,0.244,11,-13.163,1,0.0462,0.979,0.000909,0.0924,0.547,89.98,4,me
